10000 1000000
646 7517 227
952 517 406
3639 5039 584
7487 3018 940
6408 7429 419
856 3728 946
168 3020 518
6737 4357 110
3435 6222 873
1725 7871 93
5289 5699 898
3048 1130 519
3142 324 3
2073 6551 521
9748 1118 158
5647 310 8
337 4375 544
8586 1134 415
3115 5485 74
2316 4338 310
3006 6079 120
8832 7799 189
8555 7770 423
9464 8767 432
1938 6968 145
2235 2276 55
9802 5135 223
9121 8049 484
696 9042 804
7696 4844 684
9195 1053 376
1572 9385 767
4705 2377 847
8532 6048 164
3572 9086 377
3587 2321 779
577 9210 725
8985 9421 728
3635 2384 763
9181 4714 861
73 89 963
1421 5151 938
2510 856 116
4136 7093 662
6373 2137 732
3547 1489 845
2346 2156 145
9447 4959 2
2083 6635 855
5709 3360 759
830 6736 738
2155 9352 87
6163 4856 727
6637 4992 750
5385 901 579
1593 6942 503
4667 7662 468
6500 5518 897
6929 3233 72
1590 7157 240
5322 5664 633
5649 6543 816
1424 8647 552
1211 7651 171
3030 9274 575
1860 6684 445
7850 638 70
4581 536 636
9102 8238 687
3272 2752 955
8096 9825 324
7816 801 857
9115 3841 117
3203 1406 679
1674 2027 817
2620 2019 214
5463 698 604
5105 2634 910
8143 2505 277
5654 7482 575
102 6770 117
6158 1056 423
9560 5515 82
7601 191 86
1385 8514 828
5456 8685 234
729 4262 686
1128 922 479
373 8816 812
832 5757 287
2497 2047 215
8893 2869 441
26 5620 890
1471 8080 931
8533 1298 261
9027 5321 407
5433 8874 456
9179 2687 72
7062 299 191
9322 4390 871
6328 8289 12
8808 6882 332
4507 811 647
9245 4350 122
6538 6654 112
3466 5105 429
4827 6523 936
4295 1445 701
2360 2266 491
9502 34 995
9919 1079 314
4559 7099 511
3877 2584 945
739 5477 845
771 1016 722
1516 1320 419
7256 1459 270
294 9299 767
8219 940 624
9398 1990 176
8310 7585 369
7797 1616 571
3040 2773 59
8904 390 750
1845 3271 903
1445 5916 815
6829 839 544
4741 3091 434
2756 6119 373
3860 3537 103
1855 5848 212
9133 1637 813
2316 9944 850
7735 5035 412
7497 7731 438
7839 4508 801
2112 1979 92
8183 3937 228
5764 3883 281
198 245 229
876 3762 179
3777 3790 923
6897 2633 504
8080 440 947
8374 5070 251
5381 1557 394
7063 2970 682
8142 1004 935
1464 3218 278
4883 2859 254
6256 5403 457
9363 7154 66
5993 8173 930
5087 5389 251
7926 4377 350
1968 1493 871
9682 5328 447
7816 6570 562
5684 491 391
4155 3524 565
6860 6370 803
7159 7931 984
8476 7289 709
6724 6592 829
7913 8903 570
8154 6034 752
8144 9907 959
6827 2288 389
3857 1999 264
1219 4808 812
9425 5271 603
2752 1548 870
5005 9999 201
924 6842 63
4747 1624 655
3136 7086 370
2355 2273 548
3902 6213 365
8332 7197 627
1425 1302 218
7412 1211 596
1698 3760 214
6907 1823 345
8979 9744 438
4726 3518 887
2740 5820 992
9353 9138 775
897 662 245
1539 851 514
7106 3853 813
5376 5944 124
844 2136 998
633 9267 61
2686 1012 860
3238 7941 434
43 745 255
5231 1533 755
6906 1536 995
5055 815 732
4437 4423 38
822 4863 669
4328 1066 308
811 6852 528
4077 2279 126
610 9828 240
5449 2185 95
1126 9434 295
9956 2944 924
5604 971 948
9700 8355 752
7304 59 395
5004 2526 354
2065 2432 879
1943 919 177
4231 8524 936
2288 3275 3
4068 9749 697
8687 868 690
5123 2649 662
7121 8946 278
6679 2333 81
1803 8260 288
8173 7045 318
8923 6310 287
3529 8728 521
3626 9909 267
822 4435 779
2882 3230 164
2708 1004 438
9564 6028 91
4967 9172 300
7752 1205 717
5848 2998 947
6074 8051 310
4978 875 551
3222 9298 847
961 2760 30
3363 8416 10
2909 4376 512
2086 6872 338
8929 1136 394
1294 566 937
5078 5684 699
6680 6012 169
876 4543 303
1102 1623 213
5961 3533 670
1101 8665 57
7373 49 184
7666 478 865
5867 1045 747
1767 5650 421
7923 1848 36
3126 9264 18
7242 3342 269
1366 838 104
7712 9092 927
6601 5429 741
430 9488 545
7046 356 899
6189 1149 98
8749 6830 538
9379 2311 230
1627 5873 281
33 7565 569
8455 7547 568
905 132 880
623 4352 545
6739 8968 915
3868 2511 114
646 7229 418
6382 9598 995
8622 7015 127
7862 4642 769
2812 7063 891
1181 1350 990
82 2010 957
7851 5993 244
4590 1801 243
8856 8707 16
707 6327 699
7849 8272 501
7819 6543 870
5660 1100 551
5500 1044 250
2118 256 277
6057 8534 136
8914 7922 239
6371 8974 89
7809 365 442
7949 816 402
8499 4992 236
1702 925 968
4735 9633 374
3465 33 116
4230 9078 474
8263 5689 839
7503 7783 299
9311 726 60
4725 4663 2
6036 2665 296
3217 1501 949
4101 160 150
246 2028 327
313 4364 291
8166 1601 24
7267 4952 732
5700 4694 113
9959 5505 145
7915 6981 964
3512 5207 144
1224 6370 649
5013 3695 731
9756 9860 741
4503 9135 815
3784 9417 590
2591 2236 348
1926 1909 487
6218 3253 801
2855 1632 606
2032 1269 644
8569 3954 457
1017 2219 200
4586 1038 528
4371 6092 959
384 4649 720
9925 9067 573
4270 3341 393
915 8771 894
5457 8978 575
2067 9304 809
2589 2937 508
8809 8723 949
3624 2478 980
7800 2263 330
1618 4165 959
5108 7672 557
3313 4447 870
5268 6194 156
6049 7682 107
1566 6964 386
212 5911 613
883 2561 347
9954 9262 380
1177 7075 599
6258 7298 194
588 2125 775
820 208 657
4244 5629 329
3832 6046 545
4091 600 935
3328 676 469
9930 9288 370
8093 7425 339
8411 810 425
5124 6183 22
2272 5848 200
8980 3231 704
9596 7530 473
9313 8587 485
2153 4179 470
4131 5025 235
8325 8598 256
3746 1220 551
9655 4366 937
8810 8138 607
7174 2330 680
1754 1735 98
7916 4621 965
5073 4317 707
9235 5403 205
3282 5748 739
8909 1758 953
5161 8625 281
8530 9597 158
115 6859 215
1106 9046 920
8116 1857 860
8030 2127 276
5604 2413 912
7375 8234 714
6769 6237 427
2482 5059 698
5473 2255 746
1872 3397 803
5169 5680 568
6201 4244 207
9629 831 542
2576 1737 803
8086 6795 69
5302 8776 248
9153 9384 854
2711 3554 366
4921 4574 745
8389 6340 169
9112 9807 657
6123 1937 468
8462 6779 382
6865 6082 102
764 4019 72
1895 2712 388
4797 2648 326
4428 3277 93
9833 5346 586
639 377 261
7466 9341 831
274 8980 367
4540 1591 52
6046 4775 214
5672 4026 435
4390 9073 559
6676 7683 484
9081 4955 239
1174 9966 188
645 815 810
518 1585 943
2367 2692 615
6477 5607 248
6058 722 80
9003 4720 881
5407 7652 791
1227 2359 568
9082 7548 586
5213 480 652
3264 4503 983
5427 9952 263
7077 1886 725
9303 4479 324
7629 4440 504
3770 6759 328
6281 3396 830
8216 1563 794
3997 2640 762
4496 4553 216
1702 1055 678
7841 1187 886
2811 2891 711
5020 7878 670
1918 301 792
4922 7751 138
9954 7078 528
2699 741 775
2830 664 737
2270 1469 236
3870 8586 319
1763 2007 662
9822 8979 783
227 2373 915
8039 9464 541
3820 542 251
5255 7294 990
3846 5844 29
2757 2610 173
6204 7000 266
4965 1058 663
1140 5716 224
3822 6139 320
4512 5474 878
3123 9593 202
7403 351 551
8226 8919 218
202 4809 87
8499 9391 118
5308 2923 367
9428 3832 390
5760 8819 793
1975 521 223
9140 7318 689
6122 7260 454
7219 1343 519
4628 5618 271
726 1504 610
3355 8594 510
4235 8151 968
9342 684 560
9235 239 768
8112 1503 354
6444 5505 759
4932 4822 82
9681 195 407
8222 5824 917
1347 267 536
3898 475 752
4455 449 21
4027 3517 708
6786 3400 73
7882 7901 983
4983 1890 497
5420 3540 442
16 9128 606
7008 7134 826
5113 792 539
6608 3080 701
9190 7721 841
3045 5028 248
1002 693 943
7193 2769 873
8072 8992 401
1769 9539 632
6951 4954 243
3136 3796 555
4971 7988 178
2644 5610 438
4725 7506 186
2250 5152 409
7068 4398 957
7211 6232 958
9663 7033 953
8365 3968 193
174 900 400
5648 8852 265
4505 807 818
6045 4302 680
1100 9319 64
4922 3941 357
2517 8574 622
484 6857 301
8244 9839 909
4753 6375 307
7017 435 520
1804 8830 244
1046 892 391
3130 5492 227
9371 4653 62
4421 9744 559
8131 2348 551
1432 9281 987
3122 8250 331
4545 6346 946
492 7835 312
436 979 448
6964 7420 298
2140 3470 62
686 3357 222
8337 3420 412
240 1197 477
6440 6858 305
6477 8524 919
864 2178 961
9803 2057 398
278 1368 132
1100 6998 353
5322 194 381
6403 3519 828
5658 1708 62
7471 3147 955
1325 3603 671
9412 8515 570
6348 9779 375
4587 4663 240
4486 1703 417
833 1881 692
8827 4555 991
7367 7187 872
3175 1735 375
5734 7352 795
5175 4090 80
8697 6684 257
4390 9737 663
1718 4695 689
9762 1285 874
9969 9015 725
158 9330 625
6254 6293 880
7743 1291 702
9967 8591 773
1611 9121 873
3900 3739 976
9522 7013 341
3947 4333 958
2015 3934 547
2829 3169 911
7996 1438 218
1649 5442 930
9291 442 502
4856 1679 78
2240 6355 894
9971 1950 721
7246 1453 733
6224 2361 872
7708 6236 267
1326 9043 376
6892 8805 586
8873 9711 69
2285 311 243
9413 6426 851
1660 5161 717
4997 8103 215
4252 1954 769
4069 6016 774
9094 6454 860
8465 994 532
4920 1952 824
1350 959 770
8721 6861 754
7140 1402 444
7511 1244 956
2697 7667 565
497 6944 525
5653 935 997
573 3193 30
7770 2071 338
6298 1309 563
1616 5394 341
6447 7032 412
212 7933 986
3799 8116 725
2653 6644 254
9217 2523 609
465 2377 106
1347 28 687
964 5995 504
2520 6389 296
9939 9758 175
9312 6763 415
8586 2046 523
79 4426 927
8879 693 286
1477 6693 36
2112 6056 540
7211 436 578
616 1234 536
9166 3648 953
43 5523 793
345 2537 261
1826 1307 269
3972 3604 371
3323 3602 255
8104 5808 751
261 7392 575
7789 3587 792
8755 454 507
5233 4480 948
9671 1204 18
8320 799 265
422 325 271
6283 6127 426
9454 4546 458
2617 355 936
8670 8268 934
6589 3225 238
1472 295 13
3430 2403 389
5796 5243 947
4459 1663 231
6183 6415 499
9991 4354 758
3499 1644 351
51 1195 36
6435 6831 138
5576 5027 526
6189 5244 953
9793 8387 442
8989 8824 445
218 5230 809
6439 1300 690
7388 419 713
939 4149 207
2130 1223 580
5433 314 8
6361 6438 464
7238 2947 91
5498 7136 194
1466 144 826
4631 5922 270
5415 7642 119
6606 527 317
8748 3347 253
22 1820 419
8008 2645 59
5962 7847 281
6784 8271 582
9831 8522 342
2326 2472 276
588 513 799
2586 807 184
3531 9684 592
4544 1454 596
6392 1741 961
7683 5904 896
9380 9188 161
4019 2592 222
9741 2171 554
6035 6868 374
1296 8693 514
1343 2571 790
4300 9272 849
3730 8746 398
8424 29 75
3352 7247 263
6702 3606 198
6570 4439 439
6534 8624 686
2488 6799 249
2080 8145 739
6440 5266 163
915 4071 236
1423 6513 690
9738 6386 254
7481 5332 343
362 2325 231
469 739 579
7727 1586 927
9725 3012 13
8217 8898 384
5791 5978 653
8287 1290 286
4584 3330 399
2690 4893 578
2706 2916 724
736 4327 695
5753 5175 694
731 170 727
2543 7707 588
5358 674 128
158 4236 764
2278 6589 857
3025 7395 99
2689 6313 754
1303 157 141
2396 8988 76
1618 3125 47
9572 3500 911
8450 9904 485
4740 1293 994
6371 7022 193
2436 8555 923
5792 7403 309
5571 1443 687
2013 2161 241
9133 3126 790
7207 3715 102
1870 8211 223
4020 7395 818
3794 573 65
5224 9030 395
9272 9114 125
4211 8787 65
2055 7751 856
3054 24 585
6757 2388 70
941 1674 914
3374 8904 351
1178 6133 98
3327 2951 989
1414 1134 674
6641 1944 128
1220 6140 514
6854 3514 56
6431 2740 748
8642 8277 228
773 776 32
8184 3653 43
643 3521 325
2683 4195 816
8027 1661 120
7276 2944 644
5216 4518 914
3455 2777 106
3262 6636 712
26 375 831
1079 8147 676
1808 497 508
2666 8642 825
6522 706 435
727 8473 194
9259 7969 681
2639 9189 784
4317 5435 157
2279 8092 663
249 3456 694
644 6349 397
739 4073 467
4401 8661 813
4963 1960 651
2425 8404 347
1880 2306 804
9013 1039 850
640 9613 610
6041 2394 56
2092 2172 607
7150 1964 888
3553 6791 767
5384 4942 70
4007 4659 369
448 3848 794
6348 2292 649
6414 1225 290
2311 4433 339
4082 8564 645
1245 2147 65
360 9367 637
5044 8080 635
7636 1709 365
2069 1559 169
1070 2368 777
934 5074 586
2473 975 897
5666 1093 478
9099 4849 357
8469 94 671
2578 3070 993
2371 2507 857
1386 1564 299
5961 5291 82
8057 3185 846
7061 9681 802
4049 3482 801
4895 1747 324
532 9266 714
7231 3403 270
9453 6609 559
6924 1473 757
2278 5714 752
9115 406 588
1694 7178 607
6337 1373 509
6179 8736 382
5403 2162 555
8879 2824 907
8189 44 72
2310 185 2
2814 9390 438
9140 4952 3
4100 4366 740
5819 7610 66
911 5460 403
8244 4315 261
1900 2786 149
4336 7505 433
1004 2501 24
6731 3694 873
6784 6823 459
5584 6573 525
9671 7859 807
4557 409 724
2248 3731 979
2845 1841 981
443 6871 36
8375 3043 404
1900 6290 836
1821 2422 490
1899 9115 213
9361 7877 390
467 9905 202
5956 7468 117
7927 7370 769
8486 6645 580
2669 1899 824
5330 4806 641
8596 7034 316
5933 7253 154
2355 8099 442
5202 9859 609
5475 9699 586
7740 1844 850
2778 2230 545
4886 1523 5
5530 9118 251
8028 1559 781
2541 2119 43
5670 2417 312
792 595 71
2064 6359 748
9198 8097 611
1353 3445 661
4545 7471 418
6358 9731 839
8517 6661 901
3977 2369 498
2328 3572 377
6582 7857 757
678 2457 924
2770 783 868
184 326 645
1683 1856 189
931 8306 87
9979 3537 301
4573 7322 807
3403 9911 348
4295 3077 434
6057 2350 51
9196 5137 358
3928 6329 719
7973 356 338
2338 7046 634
1900 5196 662
4839 8674 570
6598 3406 587
1982 8332 564
9813 5535 929
5644 5570 345
7243 9239 173
4562 6747 430
5909 1787 931
9393 2576 519
5585 5121 348
5057 7742 263
2216 5384 432
7149 3549 548
1099 9240 576
7085 9799 524
4698 3982 105
7620 1649 580
34 9963 309
9471 6614 927
6000 6691 255
3716 5229 868
2249 2634 772
417 8602 936
85 2368 63
168 8184 623
7986 6023 594
554 6419 323
1615 783 47
9999 7352 490
4536 8147 559
3718 2349 324
5063 4929 608
2432 1487 676
7651 6675 234
1063 2141 824
7705 5485 758
474 9930 466
1176 5439 123
7837 3282 693
7538 1107 940
8016 2259 537
2387 6149 193
9763 4428 355
7970 6180 3
4216 5214 28
8187 4520 181
4855 1993 892
5979 2001 524
3756 8 407
5339 5573 239
4826 5857 978
3324 2873 532
2465 7389 540
4681 2278 832
389 7409 968
1938 8769 616
7507 4541 702
4313 2273 392
9987 2971 562
4782 4367 89
4357 1419 628
4486 700 426
9163 9197 240
6070 2103 322
282 8190 31
6279 1241 149
9516 6271 256
441 8595 232
4365 3700 623
2460 4356 924
1054 1495 548
7765 6050 226
8857 2730 578
7069 7087 264
889 5994 355
2696 4987 457
1775 9107 422
8160 7900 340
1472 727 355
5499 2912 730
7793 5934 968
222 2014 329
2398 6442 958
6191 5154 210
4628 9838 820
1439 7896 60
3435 303 651
5141 2488 337
7458 5008 768
4866 3185 214
6792 2720 32
1545 8516 363
2450 6188 796
2134 6816 402
1688 1089 486
3559 2395 331
9778 6876 156
9391 584 132
1539 6030 798
3169 6724 489
6097 9737 336
6624 4747 360
1276 9833 290
7892 1044 173
3383 3179 2
2581 3659 281
6196 1378 909
2884 3013 996
6509 5088 378
9575 7132 660
1547 3982 135
2890 7240 75
8624 9838 38
1016 3518 28
8098 5513 267
2554 4821 363
5518 9560 293
7601 6351 695
4603 4918 250
2833 3643 124
8144 252 893
5033 3308 577
6835 55 229
2037 7484 157
9426 2035 858
6428 8735 704
8582 9887 942
9840 93 346
1772 4731 386
9376 2461 48
4760 4859 312
5559 3356 303
5832 1923 790
1069 6036 665
7075 7890 224
1209 7440 653
830 205 290
1205 4782 261
4114 3192 827
5084 4782 459
3717 9583 512
4544 5085 966
6737 1969 304
8684 6896 167
2912 1227 49
1709 283 384
7418 6661 232
9337 6471 701
5691 1792 350
5655 1309 194
445 36 413
142 2050 896
8229 34 501
2912 1470 68
5563 1353 41
9224 520 166
1821 5895 951
2042 2732 228
331 4750 568
6442 7499 873
1508 1894 481
9649 2281 593
3616 6499 591
2882 9745 628
1748 9620 512
599 1681 516
215 862 734
7451 749 866
3748 5047 809
7938 3649 588
5420 6036 843
1451 9817 862
3939 7271 713
6443 2522 993
7436 1103 712
9863 717 711
628 8099 554
7913 6783 972
2055 2696 111
158 790 882
2630 5564 815
2729 7102 229
6247 1723 260
1412 4454 597
4151 2611 601
5938 2460 101
6312 9438 51
1679 5733 192
3093 192 714
4430 8512 389
7233 5978 403
1339 8302 743
6461 3143 785
7421 8040 526
435 5597 355
1552 461 286
5089 1531 158
205 8570 812
9506 4002 515
5572 3408 37
772 9124 280
7113 2191 245
469 3729 390
1425 3727 861
1872 1085 604
9433 5323 766
2 1714 285
938 12 825
7834 2012 688
2894 3456 40
4967 2870 318
8687 6228 433
5202 3706 16
3358 4870 919
1577 7193 759
204 4528 194
1199 7022 624
9800 9803 692
4770 6352 5
8025 1774 210
9175 3910 755
7540 5363 980
17 1162 265
1720 346 972
5733 7892 995
8153 933 512
9893 8785 484
6959 613 511
7889 4606 729
3969 3177 894
6953 5399 41
971 324 340
1080 8494 542
3004 5529 281
278 6533 291
1137 8201 752
3596 3294 545
6167 8951 453
609 9736 497
4548 4701 495
8360 4697 476
2625 2247 365
2550 8427 734
3120 7327 521
1975 7295 554
9487 1954 369
3647 8180 189
6525 2871 145
2436 8030 587
1212 1304 922
4514 579 109
5270 2290 604
7385 4290 418
7191 463 848
3681 721 512
9536 6714 440
656 198 694
8331 8111 743
7334 6373 553
1185 1397 406
8020 1284 655
6159 9861 629
1610 8742 630
8262 3332 817
4389 8311 19
4761 1375 807
986 6699 836
5691 2705 703
5979 1652 633
8396 6759 973
313 2850 130
868 2721 959
6580 8073 828
1334 6606 555
6319 7053 399
8334 6394 492
3984 5666 228
4933 9734 362
5035 4786 375
2371 7012 1
4238 7807 857
2366 3499 471
1472 5364 196
3244 2559 398
7509 6824 552
1065 566 218
9192 3450 817
4870 1878 979
1413 8752 354
1011 3781 10
7675 3427 836
821 1779 787
1369 7793 643
2907 5333 255
2950 7780 843
1279 2882 226
3732 2222 327
8707 5092 304
8310 7381 239
1337 7242 362
8956 9389 699
2508 7217 926
9989 2651 745
975 7848 411
8491 5922 474
2587 5947 585
4595 5654 513
956 1823 561
3653 1948 342
3688 7483 667
5968 9949 917
640 8634 267
6294 7621 226
7567 8889 850
3920 4856 865
1844 5628 257
3491 6343 509
2570 8633 65
1792 978 700
2563 7235 749
1505 5200 32
1954 879 937
954 1461 995
3611 4038 574
2437 6932 594
3297 4196 532
266 1866 624
3069 7434 353
2685 4657 899
501 6320 83
5859 9265 877
9926 7903 177
4936 1851 616
7844 1150 130
6477 796 981
702 1873 673
9551 3896 334
2658 1190 264
1908 7580 508
1526 9779 352
333 3062 241
1614 2361 499
952 9436 31
8988 4664 773
1607 8921 302
1057 1484 172
800 5192 38
3793 5087 251
6201 7616 375
5894 6121 582
2688 2216 152
6672 1113 862
9430 3055 903
720 8306 749
5102 5662 927
4583 3767 327
2652 6979 222
5510 3401 901
6045 8723 157
3129 4067 541
906 1314 518
6823 6206 289
5132 3940 822
7829 1320 308
8795 4318 686
2842 42 150
892 8999 792
9561 2429 523
6843 3367 606
4390 4760 464
6817 5399 671
5105 5283 665
3069 1416 164
1982 3881 827
5995 4617 173
4293 641 840
8176 7796 814
3644 6793 380
3399 1726 169
2962 3381 93
3438 4751 976
9266 688 641
7361 7227 551
4933 7077 62
2544 7694 31
3433 6473 502
7628 5977 152
4369 7099 14
1454 7237 902
5137 2250 554
1509 7825 474
171 2324 621
3052 4214 624
9839 1859 898
4437 4980 74
5332 208 556
6797 4181 487
6117 2183 469
4771 124 672
6278 7931 760
5223 4807 916
1651 2278 656
5780 3664 59
5127 1127 636
613 437 463
8244 6675 994
302 6922 878
7102 7344 812
8404 7741 377
9934 9068 715
2586 3484 803
4969 7953 135
5471 108 103
1695 5113 865
4490 3359 279
9834 4539 742
5972 7452 833
8931 4521 315
3934 8798 653
9204 6255 779
1356 8033 587
721 706 826
2156 2562 614
2122 5908 451
5410 16 10
5509 4665 485
2743 7951 792
7237 2282 359
9359 1540 98
929 988 548
2243 4320 894
1570 2641 512
5628 6095 240
1015 9180 376
5913 608 816
628 642 345
325 123 619
2950 7726 633
124 3385 532
9952 4172 826
4148 4123 727
7241 1293 552
9888 4254 252
2116 2336 674
1184 4299 356
5140 6214 326
7026 6333 33
4774 8148 924
924 9755 76
9845 3099 909
4538 4195 576
2613 1225 870
2883 720 659
4357 8310 342
9447 6379 466
3358 993 678
9265 1104 587
3587 1976 691
1370 9321 834
6723 8572 31
2145 293 800
2399 6073 302
5085 7338 114
7052 516 858
6769 2520 440
3941 1328 297
1141 3675 854
5158 6018 280
2036 8721 919
1599 1906 824
447 1097 757
4598 2987 808
6120 5256 953
9447 7953 100
9188 1500 916
5684 7826 108
1929 4505 768
6202 9782 10
6658 4705 589
7906 3943 585
1923 4984 184
2603 1591 371
2313 2534 527
6490 8082 711
5174 441 240
3866 9726 869
9123 5557 462
242 2364 974
1988 6184 619
2081 2649 987
9526 7545 750
9798 1736 594
4968 5359 912
1375 5551 857
9353 4994 692
4646 5212 208
670 1240 198
1824 1629 387
3280 2301 941
3420 1673 802
8049 2735 387
6016 6438 558
9450 8296 490
6468 5354 639
1119 8555 494
1457 9505 863
2257 7439 427
3638 4582 247
3215 6158 874
1662 2875 954
6581 4317 730
1060 430 262
8492 5385 165
1881 8116 86
792 6773 739
5565 673 135
2609 3368 258
8934 7509 928
117 9207 578
2809 49 267
1488 4148 491
7251 1504 982
6004 3067 253
2531 1114 410
1804 2683 954
2257 3737 325
5382 1471 371
1633 7317 457
2666 9591 617
7085 3412 445
9266 9596 76
2941 881 909
9281 2459 784
980 3667 348
2361 510 283
2980 1452 296
5397 8842 214
6429 7907 480
441 2429 112
8464 529 537
5795 174 483
4624 5982 809
5952 2156 858
824 7500 746
6239 616 916
613 5071 270
7542 175 444
171 6156 76
3725 8383 72
6659 6561 487
8405 9272 334
5856 5461 509
6221 8521 242
1926 7639 811
7483 7234 983
2135 5989 13
6324 6463 487
7940 4525 732
3924 3789 905
2824 1571 293
8636 9551 386
1483 2598 640
8387 657 653
1311 2998 778
9118 6445 836
1449 6597 385
7599 3324 159
766 6699 241
2382 1120 26
1318 9396 887
212 4349 460
1020 6908 372
6261 9572 369
3918 1946 509
2664 5270 611
4690 289 620
6857 2200 452
1069 5272 506
3568 2443 961
7924 5003 183
8445 6475 546
8776 6906 961
395 6067 97
2313 2486 212
725 7469 496
7184 8886 979
5763 6154 275
3112 2330 581
9128 4692 502
4874 9701 619
2783 1796 124
9475 5185 197
544 7734 544
6713 9986 435
7818 7027 526
4494 9611 226
2331 7038 546
5933 2271 78
634 6241 760
135 7900 732
7723 5031 497
1329 3401 389
8701 4761 351
2222 8272 711
6449 7319 278
240 8725 438
1659 3538 246
4909 5312 958
7036 4614 606
8229 1358 442
2221 9730 148
4820 3771 441
4703 1345 48
4429 3690 518
2303 9967 245
8180 3618 840
7308 2112 230
5132 1816 821
7767 2378 859
2797 4961 465
7746 6386 799
8001 3403 444
8495 2630 637
9291 6757 135
8122 936 555
6583 8966 431
9859 9465 943
5743 8392 707
6162 7607 415
1441 8392 818
126 512 500
8925 7103 512
389 9313 315
5464 3627 586
2622 7209 897
1364 6946 994
2351 2941 994
6152 6632 125
1070 2442 259
7406 3248 159
2325 1431 401
872 1928 327
1975 4635 715
9683 4016 776
6275 3260 451
174 4405 240
3546 1412 1000
2049 2139 722
7137 9890 307
6124 1727 739
9994 4904 925
4125 2021 889
6631 8815 610
8590 2113 647
3563 4573 668
9190 7354 100
4420 5047 467
380 3352 755
6387 7951 850
6683 5867 319
7551 2546 149
1304 7788 910
9012 4072 108
337 2195 653
8198 5657 752
8207 9745 446
3803 1686 138
2255 4110 997
6884 9763 267
9942 3866 154
537 7522 530
97 2782 574
6041 6403 677
8793 1548 473
879 1741 303
1399 3379 990
4954 7968 57
1659 7208 188
5043 1979 827
2812 4403 368
3604 1201 711
4315 5430 730
6837 4718 594
5636 2189 716
9938 5817 208
5320 2979 116
4764 1511 912
2539 9427 876
8568 8913 913
2874 4000 672
9938 1677 654
9001 791 101
2054 1730 723
9033 5632 642
8967 3833 855
641 9077 946
1205 3162 505
3380 2932 535
9196 1858 505
2620 8714 439
9898 3821 355
3452 980 20
1206 2696 642
4568 8445 653
4817 7923 930
2821 6286 23
3192 2080 552
9996 42 290
1142 7784 749
4718 4293 645
6449 7767 573
5807 2003 387
1731 5533 546
7650 1240 164
3349 9252 914
3157 4687 220
5979 6707 832
7047 2728 954
4842 9076 451
7461 7901 40
4699 473 948
945 7736 742
2633 739 618
9985 8001 196
7694 1599 849
5551 4990 53
4857 623 863
4243 2267 745
1083 24 85
285 3097 952
876 1694 128
7474 253 682
938 7713 249
7013 874 436
7416 9166 332
7167 7239 331
8597 1793 473
4800 6493 26
7203 5899 190
7253 8272 291
7714 507 604
8134 6827 104
1698 3251 96
7277 3461 108
4307 8102 269
6790 3434 937
8619 2384 861
3661 7592 848
9991 1829 458
7270 8747 17
5273 6815 603
2985 1853 886
5798 618 212
4179 7347 660
1707 5537 775
9756 8424 390
9424 9619 976
6419 1279 327
4137 5331 491
4765 1519 425
1739 1848 893
6477 1658 695
8802 3293 829
4663 4301 189
3705 7839 910
7287 2652 793
3326 6511 345
689 3091 800
7868 8452 273
377 8479 754
6327 2665 177
1632 110 483
1701 498 672
1473 7244 976
5141 1275 794
994 1456 185
7438 3219 455
4501 5026 312
2402 2750 570
1410 1213 152
6912 5319 567
1355 2463 538
4583 7109 769
2898 61 272
2626 9337 234
5962 5440 883
7833 7374 245
1266 7983 410
9126 1512 55
1836 2261 401
1914 1675 178
587 7977 82
1477 9963 448
8851 1539 292
6979 7973 361
407 9751 137
1602 534 569
1116 1144 772
3515 4369 198
1600 6857 812
6431 208 650
7903 4521 686
7409 8286 168
3343 905 529
7059 7602 40
5567 8641 955
8181 6432 916
4404 8364 228
5000 9832 569
3488 3308 154
2342 9890 875
6266 1937 629
8607 2341 142
4845 1502 37
1720 6853 661
7432 5459 76
9251 9570 893
703 2273 538
2948 3997 916
3066 1458 856
8377 6787 775
6637 9138 659
7571 6207 213
993 9710 676
8057 6483 854
7011 8854 641
8379 1812 635
984 3266 572
4957 7012 962
2748 5696 196
6839 751 798
1127 6323 375
8628 5091 45
2301 6712 526
1333 664 444
3741 6551 965
221 5461 997
7573 2006 881
3728 7232 486
4172 721 939
2495 7071 657
3026 1534 391
119 8104 302
927 5012 109
1099 6306 136
696 3074 945
2678 9631 302
496 681 204
3061 3355 421
1062 7921 514
5192 685 299
3772 1398 200
7371 3214 558
5844 4372 701
2001 1080 124
7254 4488 352
869 9239 639
4357 1227 235
17 4557 493
2735 4819 415
8255 1202 26
5529 6918 874
891 3729 288
6942 8969 753
4887 7456 785
5055 7569 883
2413 1370 749
4242 1799 271
6226 1510 870
4829 7903 348
5109 2243 72
6177 7527 744
424 8704 658
3411 7233 14
6390 2595 772
3688 684 137
107 1656 235
8188 6735 679
9416 8004 726
7985 2517 47
1980 2906 707
6268 5656 602
9514 3618 68
371 3666 394
4314 9583 566
6341 6632 341
2055 1277 286
2633 7006 812
9839 707 916
853 3327 869
6793 2409 469
374 471 762
5683 5281 967
1303 3315 62
7538 1435 891
395 3664 539
6176 1842 782
4823 1116 197
4544 6736 523
1864 3624 263
5359 5894 187
6539 2021 393
5474 7322 322
2747 9175 858
9832 3140 625
5964 1133 919
305 6094 436
2909 9741 361
8279 9392 169
5097 2707 870
2631 1219 347
555 7454 324
22 7852 222
3801 251 123
